STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,LAND_KM,WATER_KM,PERSONS,FAMILIES,HOUSHOLD,MALE,FEMALE,WORKERS,DRVALONE,CARPOOL,PUBTRANS,EMPLOYED,UNEMPLOY,SERVICE,MANUAL,P_MALE,P_FEMALE,SAMP_POP
Illinois,17,E N Cen,IL,143986.61,1993.335,11430602,2924880,4202240,5552233,5878369,4199206,3741715,652603,538071,5417967,385040,1360159,828906,0.486,0.514,1747776
District of Columbia,11,S Atl,DC,159.055,17.991,606900,122087,249634,282970,323930,229975,106694,36621,111422,303994,23442,65498,22407,0.466,0.534,72696
Delaware,10,S Atl,DE,5062.456,1385.022,666168,175867,247497,322968,343200,247566,258087,42968,8069,335147,13945,87973,44140,0.485,0.515,102776
West Virginia,54,S Atl,WV,62384.2,375.199,1793477,500259,688557,861536,931941,661702,493164,106918,7237,671085,71142,205950,124172,0.48,0.52,317564
Maryland,24,S Atl,MD,25316.345,6188.794,4781468,1245814,1748991,2318671,2462797,1783061,1732837,376449,202169,2481342,111536,586994,260308,0.485,0.515,684773
Colorado,8,Mtn,CO,268659.501,960.364,3294394,854214,1282489,1631295,1663099,1233023,1216639,210274,46983,1633281,99438,421079,181760,0.495,0.505,512677
Kentucky,21,E S Cen,KY,103961.904,1772.542,4551524,1237346,1718663,2195130,2356394,1656590,1502949,273091,48158,1970934,148125,556744,361621,0.482,0.518,646517
Kansas,20,W N Cen,KS,211921.641,1188.865,2477574,658600,944726,1214645,1262929,907383,928575,135598,7585,1172214,57772,346339,166429,0.49,0.51,453411
Virginia,51,S Atl,VA,102537.328,4263.82,6180651,1627615,2289067,3030948,3149703,2343200,2278600,499251,125792,3025109,141926,777181,420070,0.49,0.51,898089
Missouri,29,W N Cen,MO,178445.951,2100.115,5117073,1368334,1961206,2464315,2652758,1861192,1816079,312042,47129,2367395,155388,659782,386746,0.482,0.518,864999
Arizona,4,Mtn,AZ,294333.462,36655228,3665228,940106,1368843,1810691,1854537,1358263,1178320,239083,32856,1603896,123902,455896,185109,0.494,0.506,468178
Oklahoma,40,W S Cen,OK,177877.536,3170.998,3145585,855321,1206135,1530819,1614766,1146497,1078894,190902,7817,1369138,100931,405802,205601,0.487,0.513,528722
North Carolina,37,S Atl,NC,126177.635,10309.652,6628629,1812051,2517024,3214286,3414343,2484061,2527980,529828,33902,3238414,163081,883563,701142,0.485,0.515,1013599
